trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,con_ts,con_stim,curr_ts,switch
1,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.4319933145332766, -0.4319933145332766, -0.4319933145332766]",0,0.5032600876875222,0,0,1,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
2,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.8940999390440174, -0.8940999390440174, -0.8940999390440174]",1,0.5031480863690376,0,1,2,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
3,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.9360323219687601, -0.9360323219687601, -0.9360323219687601]",1,0.5026639369316399,0,1,3,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
4,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.23967207198926, -0.23967207198926, -0.23967207198926]",1,0.5019856817089021,0,1,4,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
5,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.460642858512569, -0.460642858512569, -0.460642858512569]",0,0.5023252555401996,0,0,5,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
6,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.38373160673506324, -0.38373160673506324, -0.38373160673506324]",1,0.5022596610942855,0,1,6,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
7,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.02987703883870302, -0.02987703883870302, -0.02987703883870302]",1,0.502494819345884,0,1,7,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
8,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7694465881673627, -0.7694465881673627, -0.7694465881673627]",0,0.5016162110259756,0,0,8,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
9,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.0992863792172369, -0.0992863792172369, -0.0992863792172369]",1,0.5018094246042892,0,1,9,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
10,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7940492358045481, -0.7940492358045481, -0.7940492358045481]",0,0.5014551252825186,0,0,10,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
11,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.6087523873590792, 0.6087523873590792, 0.6087523873590792]",2,0.501618888345547,0,0,11,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,True
12,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5249348070911193, -0.5249348070911193, -0.5249348070911193]",0,0.5021869271295145,0,0,12,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
13,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.018020657086364245, -0.018020657086364245, -0.018020657086364245]",0,0.5012869002530351,0,0,13,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
14,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.21802287221473035, -0.21802287221473035, -0.21802287221473035]",0,0.5013913158327341,0,0,14,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
15,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.09702646982156293, 0.09702646982156293, 0.09702646982156293]",0,0.5022070071427152,0,0,15,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
16,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.16531131974259172, -0.16531131974259172, -0.16531131974259172]",1,0.5025010664248839,0,1,16,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
17,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.43339477555080774, -0.43339477555080774, -0.43339477555080774]",1,0.5014975164085627,0,1,17,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
18,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.3482017632788156, 0.3482017632788156, 0.3482017632788156]",1,0.5015590948751196,1,1,18,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
19,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.0908627260739148, 0.0908627260739148, 0.0908627260739148]",3,0.5024252089206129,1,1,19,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,True
20,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[1, 1, 1]",2,0.502610836760141,1,0,20,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
21,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.25084944477162446, -0.25084944477162446, -0.25084944477162446]",3,0.5014051486505195,1,1,21,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
22,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.1818511353844675, 0.1818511353844675, 0.1818511353844675]",2,0.5018040698487312,1,0,22,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
23,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.09717047306357679, -0.09717047306357679, -0.09717047306357679]",2,0.5019843430491164,1,0,23,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
24,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.4662561048401163, 0.4662561048401163, 0.4662561048401163]",2,0.5026242233579978,0,0,24,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,False
25,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.05194267098996286, 0.05194267098996286, 0.05194267098996286]",2,0.5028883859049529,0,0,25,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,False
26,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7033609643765868, -0.7033609643765868, -0.7033609643765868]",1,0.5048049034085125,0,1,26,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
27,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5585184129140923, -0.5585184129140923, -0.5585184129140923]",1,0.50138328387402,0,1,27,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
28,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.0726131281905133, -0.0726131281905133, -0.0726131281905133]",0,0.5024475200334564,0,0,28,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
29,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7134708965895474, -0.7134708965895474, -0.7134708965895474]",0,0.5027460415149108,0,0,29,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
30,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.08618360564330532, -0.08618360564330532, -0.08618360564330532]",1,0.5018491381779313,0,1,30,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
31,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.3354394601531787, -0.3354394601531787, -0.3354394601531787]",0,0.5017880059313029,0,0,31,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
32,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.6030453409922483, -0.6030453409922483, -0.6030453409922483]",1,0.5022208399605006,0,1,32,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
33,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.6808414057317325, -0.6808414057317325, -0.6808414057317325]",0,0.5019954985473305,0,0,33,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
34,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.20169044397065175, -0.20169044397065175, -0.20169044397065175]",1,0.5021191015839577,0,1,34,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
35,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.08027157207856883, 0.08027157207856883, 0.08027157207856883]",1,0.5025108832633123,1,1,35,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
36,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.19944050680801173, -0.19944050680801173, -0.19944050680801173]",1,0.5020610928768292,1,1,36,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
37,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.28540479694875426, 0.28540479694875426, 0.28540479694875426]",1,0.5022721553687006,1,1,37,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
38,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.33690017949552326, -0.33690017949552326, -0.33690017949552326]",0,0.5025970038259402,1,0,38,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
39,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.3219258995402559, 0.3219258995402559, 0.3219258995402559]",3,0.5022507366957143,1,1,39,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,True
40,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.2879614830706144, 0.2879614830706144, 0.2879614830706144]",3,0.5023065143032,1,1,40,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
41,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.018893675747358563, 0.018893675747358563, 0.018893675747358563]",3,0.5023484590929002,1,1,41,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
42,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.20499891893406716, 0.20499891893406716, 0.20499891893406716]",3,0.5014711893163621,1,1,42,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
43,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.22346242077428963, 0.22346242077428963, 0.22346242077428963]",3,0.5021302571985871,1,1,43,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
44,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.8858328419786419, 0.8858328419786419, 0.8858328419786419]",3,0.5023578297114,1,1,44,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
45,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.5209882196959972, 0.5209882196959972, 0.5209882196959972]",2,0.5022940200287849,1,0,45,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
46,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.19364902323562255, -0.19364902323562255, -0.19364902323562255]",3,0.5017946992302313,1,1,46,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
47,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.48361111564030024, 0.48361111564030024, 0.48361111564030024]",3,0.5018959913868457,1,1,47,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
48,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.45215290629369653, 0.45215290629369653, 0.45215290629369653]",2,0.5025590751320124,1,0,48,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
49,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.4482108854706413, 0.4482108854706413, 0.4482108854706413]",2,0.5022003138437867,0,0,49,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,False
50,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-1, -1, -1]",1,0.5018187951063737,0,1,50,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
51,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.6757496792562419, -0.6757496792562419, -0.6757496792562419]",1,0.5027165909996256,0,1,51,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
52,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.3662073213554683, -0.3662073213554683, -0.3662073213554683]",1,0.5024542133323848,0,1,52,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
53,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.20605333554485294, -0.20605333554485294, -0.20605333554485294]",0,0.5019892514683306,0,0,53,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
54,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.176386679965313, -0.176386679965313, -0.176386679965313]",0,0.5022574301110581,0,0,54,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
55,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.04713667590782933, 0.04713667590782933, 0.04713667590782933]",0,0.501994605991058,0,0,55,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
56,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.7154725641390783, 0.7154725641390783, 0.7154725641390783]",3,0.503320773714222,1,1,56,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,True
57,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.18915588623456359, -0.18915588623456359, -0.18915588623456359]",2,0.502313653822057,1,0,57,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
58,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.25979414106929194, 0.25979414106929194, 0.25979414106929194]",2,0.5017982689896598,1,0,58,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
59,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.6802922841878619, 0.6802922841878619, 0.6802922841878619]",2,0.5021378429373726,1,0,59,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
60,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.6015856590065043, -0.6015856590065043, -0.6015856590065043]",1,0.5023846029071137,0,1,60,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
61,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5754406074119709, -0.5754406074119709, -0.5754406074119709]",1,0.5021610463736579,0,1,61,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
62,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.08367155823324451, 0.08367155823324451, 0.08367155823324451]",1,0.5030017259996384,0,1,62,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
63,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.21623566559695, 0.21623566559695, 0.21623566559695]",1,0.5016278127441183,0,1,63,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
64,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.3352079221615597, -0.3352079221615597, -0.3352079221615597]",1,0.5027638904284686,0,1,64,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
65,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.9663888552876894, -0.9663888552876894, -0.9663888552876894]",0,0.5028709833277389,0,0,65,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
66,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.5905925398627101, 0.5905925398627101, 0.5905925398627101]",2,0.5016465539811179,0,0,66,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,True
67,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.31191501406148076, -0.31191501406148076, -0.31191501406148076]",0,0.5023837104672566,0,0,67,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,True
68,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.08172824478354024, -0.08172824478354024, -0.08172824478354024]",0,0.5018125480273739,0,0,68,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
69,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5637613393340133, -0.5637613393340133, -0.5637613393340133]",0,0.501647446420975,0,0,69,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
70,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.6499687568201731, -0.6499687568201731, -0.6499687568201731]",0,0.5025229313177988,0,0,70,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
71,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.18570440417137266, -0.18570440417137266, -0.18570440417137266]",1,0.5019258881220594,0,1,71,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
72,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.27283249827201034, -0.27283249827201034, -0.27283249827201034]",1,0.5021543530747294,0,1,72,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
73,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.20378119781658427, 0.20378119781658427, 0.20378119781658427]",1,0.5016255816444755,0,1,73,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
74,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.24988390417539438, -0.24988390417539438, -0.24988390417539438]",0,0.5021298109786585,0,0,74,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
75,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.20273189543890507, -0.20273189543890507, -0.20273189543890507]",1,0.5019580159569159,0,1,75,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
76,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.426471504120456, -0.426471504120456, -0.426471504120456]",1,0.5026121754199266,0,1,76,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
77,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.2600782344302709, -0.2600782344302709, -0.2600782344302709]",0,0.5021512295352295,0,0,77,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
78,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5166622290626197, -0.5166622290626197, -0.5166622290626197]",0,0.5023230244405568,0,0,78,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
79,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.23202249762898008, -0.23202249762898008, -0.23202249762898008]",1,0.5035844900412485,0,1,79,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
80,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.7265765955856885, -0.7265765955856885, -0.7265765955856885]",1,0.5024966042255983,0,1,80,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
81,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.5628778121077049, -0.5628778121077049, -0.5628778121077049]",0,0.501990590011701,0,0,81,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
82,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.41062177147214624, 0.41062177147214624, 0.41062177147214624]",1,0.5020494912751019,0,1,82,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
83,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[0.01838237309147267, 0.01838237309147267, 0.01838237309147267]",0,0.5024100374430418,0,0,83,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
84,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.3501592102758613, -0.3501592102758613, -0.3501592102758613]",1,0.5018986685900018,0,1,84,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
85,1,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.16525402488415689, -0.16525402488415689, -0.16525402488415689]",0,0.5022498442558572,0,0,85,"[[1, 0, 0, 0], [0, 1, 0, 0]]",True,True,0,False
86,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.04170913581285912, 0.04170913581285912, 0.04170913581285912]",0,0.5020878661889583,1,0,86,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,False
87,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.36189638647867933, 0.36189638647867933, 0.36189638647867933]",3,0.5027455952949822,1,1,87,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,True
88,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.48725527435399774, 0.48725527435399774, 0.48725527435399774]",3,0.502364969230257,1,1,88,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
89,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[0.37380935725748354, 0.37380935725748354, 0.37380935725748354]",2,0.5019508764380589,1,0,89,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
90,1,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.16874808742370034, -0.16874808742370034, -0.16874808742370034]",2,0.5015773897757754,1,0,90,"[[0, 0, 1, 0], [0, 0, 0, 1]]",True,True,1,False
91,0,"{'mean': -0.29999999999999999, 'sd': 0.37}","[-0.17522884275096304, -0.17522884275096304, -0.17522884275096304]",2,0.5018866207683459,0,0,91,"[[1, 0, 0, 0], [0, 1, 0, 0]]",False,True,1,False
92,0,"{'mean': 0.29999999999999999, 'sd': 0.37}","[-0.24989476011885597, -0.24989476011885597, -0.24989476011885597]",1,0.5069342681672424,1,1,92,"[[0, 0, 1, 0], [0, 0, 0, 1]]",False,True,0,True
