trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
1,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",1,0,False,False,False,True,False
2,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",2,0,False,False,True,False,True
3,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",3,0,False,False,True,False,True
4,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",4,0,True,False,True,False,True
5,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 2)",5,0,False,False,True,False,True
6,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",6,0,True,False,True,False,True
7,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 2)",7,0,True,False,True,False,True
8,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,0,"(0, 3)",8,0,True,False,True,False,True
9,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 2)",9,0,False,False,True,False,True
10,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",10,0,False,False,False,True,False
11,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,0,0.5,0,"(0, 2)",11,0,False,False,True,False,True
12,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",12,0,False,False,True,False,True
13,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 3)",13,0,True,False,True,False,True
14,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",14,0,False,False,True,False,True
15,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",15,0,False,False,False,True,False
16,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",16,1,False,True,True,False,False
17,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(0, 3)",17,1,False,False,False,True,True
18,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",18,1,False,False,False,True,True
19,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 3)",19,0,False,True,True,False,True
20,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,2,0.5,0,"(0, 2)",20,1,False,True,False,True,True
21,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,0,"(0, 3)",21,1,False,False,False,True,True
22,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.5,0,"(1, 3)",22,1,True,False,False,True,True
23,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(1, 2)",23,1,False,False,False,True,True
24,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",24,1,True,False,False,True,True
25,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(1, 3)",25,1,False,False,False,True,True
26,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 3)",26,1,False,False,True,False,False
27,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",27,1,False,False,False,True,True
28,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(0, 3)",28,1,False,False,False,True,True
29,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",29,1,False,False,False,True,True
30,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",30,1,False,False,True,False,False
31,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",31,1,False,False,False,True,True
32,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",32,1,False,False,True,False,False
33,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,0,"(1, 3)",33,1,False,False,False,True,True
34,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,0,"(0, 3)",34,1,True,False,False,True,True
35,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",35,1,False,False,False,True,True
36,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(1, 3)",36,0,False,True,False,True,False
37,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",37,0,False,False,True,False,True
38,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",38,0,True,False,True,False,True
39,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 2)",39,0,True,False,True,False,True
40,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",40,0,False,False,False,True,False
41,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",41,0,False,False,True,False,True
42,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",42,1,False,True,False,True,True
43,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.5,0,"(0, 2)",43,1,True,False,False,True,True
44,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,0,"(1, 2)",44,1,True,False,False,True,True
45,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 2)",45,0,False,True,True,False,True
46,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",46,1,True,True,True,False,False
47,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,3,0.5,0,"(0, 3)",47,1,False,False,False,True,True
48,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",48,1,True,False,False,True,True
49,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(0, 2)",49,1,False,False,False,True,True
50,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",50,1,False,False,True,False,False
51,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",51,1,False,False,False,True,True
52,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 2)",52,1,False,False,True,False,False
53,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,0,"(0, 2)",53,0,True,True,True,False,True
54,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,0,"(0, 2)",54,0,True,False,True,False,True
55,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",55,0,True,False,True,False,True
56,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",56,0,True,False,True,False,True
57,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",57,0,True,False,True,False,True
58,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 3)",58,0,False,False,True,False,True
59,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",59,0,False,False,True,False,True
60,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 3)",60,0,False,False,True,False,True
61,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(0, 3)",61,0,False,False,False,True,False
62,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",62,0,False,False,False,True,False
63,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(0, 3)",63,0,False,False,False,True,False
64,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",64,0,False,False,True,False,True
65,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 2)",65,0,True,False,True,False,True
66,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.5,0,"(0, 3)",66,0,True,False,True,False,True
67,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.5,0,"(0, 2)",67,1,False,True,False,True,True
68,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",68,0,True,True,False,True,False
69,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",69,0,True,False,False,True,False
70,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",70,0,False,False,True,False,True
71,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 2)",71,0,False,False,True,False,True
72,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",72,0,True,False,True,False,True
73,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",73,0,True,False,True,False,True
74,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",74,0,False,False,False,True,False
75,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 2)",75,0,False,False,True,False,True
76,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",76,0,False,False,True,False,True
77,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",77,0,False,False,False,True,False
78,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,0,"(1, 3)",78,0,False,False,True,False,True
79,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",79,0,False,False,False,True,False
80,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(1, 3)",80,0,False,False,False,True,False
81,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 2)",81,0,False,False,True,False,True
82,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",82,0,False,False,True,False,True
83,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",83,0,False,False,False,True,False
84,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",84,0,False,False,True,False,True
85,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",85,0,False,False,True,False,True
86,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 2)",86,0,True,False,True,False,True
87,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",87,0,False,False,True,False,True
88,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",88,1,False,True,False,True,True
89,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",89,1,True,False,False,True,True
90,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",90,1,True,False,False,True,True
91,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(0, 3)",91,1,False,False,False,True,True
92,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",92,1,True,False,False,True,True
93,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 2)",93,1,False,False,True,False,False
94,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.5,0,"(0, 3)",94,1,False,False,False,True,True
95,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(0, 2)",95,1,False,False,False,True,True
96,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,0,"(1, 3)",96,1,False,False,False,True,True
97,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",97,1,True,False,False,True,True
98,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",98,1,True,False,False,True,True
99,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,0,"(0, 3)",99,1,True,False,False,True,True
100,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(1, 2)",100,1,False,False,False,True,True
101,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(1, 3)",101,1,False,False,False,True,True
102,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",102,1,True,False,False,True,True
103,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",103,1,False,False,False,True,True
104,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 3)",104,1,False,False,True,False,False
105,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,0,"(1, 2)",105,1,False,False,False,True,True
106,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(0, 3)",106,1,False,False,False,True,True
107,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,0,"(1, 3)",107,0,False,True,True,False,True
108,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",108,0,True,False,True,False,True
109,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 2)",109,0,True,False,True,False,True
110,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",110,0,True,False,True,False,True
111,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(0, 3)",111,0,False,False,False,True,False
112,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 2)",112,0,False,False,True,False,True
113,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 2)",113,0,False,False,True,False,True
114,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 3)",114,0,False,False,True,False,True
115,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",115,1,False,True,False,True,True
116,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",116,1,False,False,True,False,False
117,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",117,1,False,False,False,True,True
118,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",118,1,True,False,False,True,True
119,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",119,1,False,False,True,False,False
120,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",120,1,False,False,False,True,True
121,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",121,1,True,False,False,True,True
122,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(1, 3)",122,1,False,False,False,True,True
123,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(0, 3)",123,1,True,False,False,True,True
124,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(1, 3)",124,1,True,False,False,True,True
125,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(0, 3)",125,1,True,False,False,True,True
126,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",126,1,True,False,False,True,True
127,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",127,1,False,False,True,False,False
128,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,0,"(1, 3)",128,1,False,False,False,True,True
129,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",129,1,False,False,False,True,True
130,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,0,"(0, 3)",130,1,False,False,False,True,True
131,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",131,1,False,False,True,False,False
132,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",132,1,True,False,True,False,False
133,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(0, 3)",133,1,False,False,False,True,True
134,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",134,1,False,False,False,True,True
135,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",135,1,False,False,True,False,False
136,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,0,"(0, 2)",136,1,False,False,False,True,True
137,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",137,1,False,False,False,True,True
138,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",138,1,False,False,False,True,True
139,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",139,1,True,False,False,True,True
140,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",140,1,False,False,True,False,False
141,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",141,1,False,False,False,True,True
142,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",142,1,False,False,False,True,True
143,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",143,1,False,False,True,False,False
144,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(1, 2)",144,1,False,False,False,True,True
145,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",145,1,False,False,True,False,False
146,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",146,1,True,False,True,False,False
147,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,0,"(0, 2)",147,1,False,False,False,True,True
148,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 2)",148,1,False,False,True,False,False
149,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",149,1,False,False,False,True,True
150,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.5,0,"(0, 3)",150,1,True,False,False,True,True
151,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",151,1,True,False,False,True,True
152,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",152,1,False,False,False,True,True
153,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 2)",153,1,False,False,True,False,False
154,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",154,1,False,False,False,True,True
155,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",155,1,True,False,False,True,True
156,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",156,1,False,False,False,True,True
157,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",157,1,False,False,False,True,True
158,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(1, 3)",158,1,False,False,False,True,True
159,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",159,1,False,False,False,True,True
160,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",160,1,False,False,True,False,False
161,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",161,1,False,False,False,True,True
162,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",162,1,False,False,False,True,True
163,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(0, 2)",163,1,True,False,False,True,True
164,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",164,1,True,False,False,True,True
165,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(1, 2)",165,1,True,False,False,True,True
166,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(0, 3)",166,1,False,False,False,True,True
167,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 2)",167,0,False,True,True,False,True
168,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",168,0,True,False,True,False,True
169,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 3)",169,0,False,False,True,False,True
170,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(1, 3)",170,1,False,True,False,True,True
171,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",171,1,False,False,False,True,True
172,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,0,"(1, 3)",172,1,False,False,False,True,True
173,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,0,"(0, 2)",173,1,False,False,True,False,False
174,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",174,1,False,False,True,False,False
175,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,0,"(0, 2)",175,0,False,True,True,False,True
176,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,0,"(1, 3)",176,0,False,False,True,False,True
177,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(1, 2)",177,0,False,False,False,True,False
178,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",178,0,False,False,True,False,True
179,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,0,"(0, 2)",179,0,False,False,True,False,True
180,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",180,1,False,True,True,False,False
181,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",181,1,True,False,True,False,False
182,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,3,0.5,0,"(0, 3)",182,1,False,False,False,True,True
183,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",183,1,True,False,False,True,True
184,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",184,0,False,True,False,True,False
